Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,USD_MSRP,Packaging,Availability,wanted,owned,rating,theme_grp,review_num,query_id,adjust_coef,adj_USD_MSRP
10246,Detective's Office,2015,Advanced Models,Modular Buildings,2262.0,6.0,http://images.brickset.com/sets/images/10246-1.jpg,159.99,Box,Retail - limited,5008.0,10155.0,4.75,Model making,4,10246-1,1.0,159.99
10247,Ferris Wheel,2015,Advanced Models,Fairground,2464.0,10.0,http://images.brickset.com/sets/images/10247-1.jpg,199.99,Box,Retail - limited,3219.0,4807.0,5,Model making,3,10247-1,1.0,199.99
10248,Ferrari F40,2015,Advanced Models,Vehicles,1158.0,0.0,http://images.brickset.com/sets/images/10248-1.jpg,99.99,Box,LEGO exclusive,2030.0,3943.0,5,Model making,4,10248-1,1.0,99.99
10249,Toy Shop,2015,Advanced Models,Winter Village,898.0,0.0,http://images.brickset.com/sets/images/10249-1.jpg,79.99,Box,LEGO exclusive,2046.0,4794.0,4,Model making,1,10249-1,1.0,79.99
10581,Ducks,2015,Duplo,Forest Animals,13.0,1.0,http://images.brickset.com/sets/images/10581-1.jpg,9.99,Box,Retail,117.0,444.0,0,Pre-school,0,10581-1,1.0,9.99
10582,Animals,2015,Duplo,Forest Animals,39.0,2.0,http://images.brickset.com/sets/images/10582-1.jpg,19.99,Box,Retail,103.0,246.0,0,Pre-school,0,10582-1,1.0,19.99
10583,Fishing Trip,2015,Duplo,Forest Animals,32.0,2.0,http://images.brickset.com/sets/images/10583-1.jpg,24.99,Box,Retail,108.0,234.0,0,Pre-school,0,10583-1,1.0,24.99
10584,Forest,2015,Duplo,Forest Animals,105.0,3.0,http://images.brickset.com/sets/images/10584-1.jpg,59.99,Box,Retail,170.0,304.0,0,Pre-school,0,10584-1,1.0,59.99
10585,Mom and Baby,2015,Duplo,No_Subtheme,13.0,2.0,http://images.brickset.com/sets/images/10585-1.jpg,9.99,Box,Retail,58.0,241.0,5,Pre-school,1,10585-1,1.0,9.99
10586,Ice Cream Truck,2015,Duplo,No_Subtheme,11.0,2.0,http://images.brickset.com/sets/images/10586-1.jpg,14.99,Box,Retail,44.0,203.0,0,Pre-school,0,10586-1,1.0,14.99
10587,Cafe,2015,Duplo,No_Subtheme,52.0,3.0,http://images.brickset.com/sets/images/10587-1.jpg,19.99,Box,Retail,51.0,201.0,0,Pre-school,0,10587-1,1.0,19.99
10589,Rally Car,2015,Duplo,No_Subtheme,13.0,1.0,http://images.brickset.com/sets/images/10589-1.jpg,14.99,Box,Retail,33.0,197.0,0,Pre-school,0,10589-1,1.0,14.99
10590,Airport,2015,Duplo,No_Subtheme,29.0,0.0,http://images.brickset.com/sets/images/10590-1.jpg,19.99,Box,Retail,68.0,502.0,0,Pre-school,0,10590-1,1.0,19.99
10591,Fire Boat,2015,Duplo,Fire,19.0,0.0,http://images.brickset.com/sets/images/10591-1.jpg,14.99,Box,Retail,39.0,166.0,0,Pre-school,0,10591-1,1.0,14.99
10592,Fire Truck,2015,Duplo,Fire,26.0,0.0,http://images.brickset.com/sets/images/10592-1.jpg,24.99,Box,Retail,49.0,229.0,0,Pre-school,0,10592-1,1.0,24.99
10593,Fire Station,2015,Duplo,Fire,105.0,0.0,http://images.brickset.com/sets/images/10593-1.jpg,49.99,Box,Retail,59.0,115.0,0,Pre-school,0,10593-1,1.0,49.99
10594,Sofia the First Royal Stable,2015,Duplo,No_Subtheme,38.0,1.0,http://images.brickset.com/sets/images/10594-1.jpg,24.99,Box,Retail,50.0,138.0,0,Pre-school,0,10594-1,1.0,24.99
10595,Sofia the First Royal Castle,2015,Duplo,No_Subtheme,87.0,2.0,http://images.brickset.com/sets/images/10595-1.jpg,49.99,Box,Retail,64.0,124.0,0,Pre-school,0,10595-1,1.0,49.99
10596,Disney Princess Collection,2015,Duplo,Disney Princess,63.0,0.0,http://images.brickset.com/sets/images/10596-1.jpg,39.99,Box,Retail,73.0,119.0,0,Pre-school,0,10596-1,1.0,39.99
10597,Mickey & Minnie Birthday Parade,2015,Duplo,No_Subtheme,24.0,0.0,http://images.brickset.com/sets/images/10597-1.jpg,24.99,Box,Retail,76.0,349.0,0,Pre-school,0,10597-1,1.0,24.99
10599,Batman Adventure,2015,Duplo,No_Subtheme,47.0,0.0,http://images.brickset.com/sets/images/10599-1.jpg,39.99,Box,Retail,100.0,147.0,0,Pre-school,0,10599-1,1.0,39.99
10600,Classic Race,2015,Duplo,Cars,29.0,0.0,http://images.brickset.com/sets/images/10600-1.jpg,24.99,Box,Retail,59.0,213.0,0,Pre-school,0,10600-1,1.0,24.99
10601,Delivery Vehicle,2015,Duplo,No_Subtheme,19.0,0.0,http://images.brickset.com/sets/images/10601-1.jpg,19.99,Box,Retail,32.0,134.0,0,Pre-school,0,10601-1,1.0,19.99
